rank	crate_id	name	downloads
1	93342	hashbrown	2222988134
2	6274	syn	2181946030
3	109516	getrandom	1820393947
4	793	bitflags	1699376811
5	31712	rand_core	1585384811
6	1339	rand	1563139979
7	795	libc	1509436619
8	6224	quote	1493633917
9	22124	proc-macro2	1490952394
10	3569	base64	1459227795
11	466814	windows-sys	1431639644
12	48918	indexmap	1420693513
13	314	itertools	1395424512
14	2233	regex-syntax	1348232212
15	171266	thiserror-impl	1341651263
16	171267	thiserror	1341418748
17	2556	cfg-if	1329629412
18	2364	memchr	1292650799
19	463	serde	1291954079
20	91129	rand_chacha	1280539040
21	459332	unicode-ident	1262080126
22	5486	itoa	1234966091
23	6169	serde_derive	1218518972
24	67825	autocfg	1197647677
25	9167	heck	1197161668
26	2782	serde_json	1196308983
27	77028	once_cell	1160805777
28	105119	regex-automata	1159054732
29	547	log	1153210954
30	569	cc	1145738147
31	18126	socket2	1122374131
32	1783	smallvec	1090459004
33	545	regex	1074643265
34	1498	clap	1061254373
35	2365	aho-corasick	1054489867
36	76396	ryu	1054095314
37	473904	rustix	1051096369
38	6133	parking_lot_core	1032109370
39	473110	windows_x86_64_msvc	1018290148
40	5055	parking_lot	1004632893
41	1368	strsim	1003659799
42	409357	linux-raw-sys	990285192
43	473671	windows_x86_64_gnu	982099932
44	477460	windows_aarch64_msvc	975680992
45	473109	windows_i686_msvc	974669322
46	6736	digest	973013795
47	473669	windows_i686_gnu	972713286
48	661906	windows-targets	967074889
49	1315	bytes	958102681
50	62	mio	953293453
51	18632	block-buffer	949423293
52	174693	pin-project-lite	944200833
53	8082	version_check	944169639
54	4746	num-traits	938757233
55	184	http	935474585
56	3048	either	930322178
57	657025	windows_x86_64_gnullvm	926470134
58	657016	windows_aarch64_gnullvm	926469879
59	7	semver	925447707
60	363	lazy_static	921582467
61	69133	lock_api	919380607
62	5563	tokio	895404073
63	4577	idna	892016147
64	170198	anyhow	888878919
65	1994	scopeguard	878707845
66	4991	sha2	857382597
67	327	hyper	853179759
68	2392	slab	849360519
69	389800	cpufeatures	848908560
70	6137	rustls	847983883
71	54007	futures-core	845756649
72	29582	crossbeam-utils	840363736
73	90	time	839489116
74	246734	fastrand	836490240
75	35141	miniz_oxide	835847315
76	11	toml	833547677
77	54020	futures-util	833471004
78	152488	futures-task	832413133
79	112081	ppv-lite86	831350720
80	18850	percent-encoding	831226588
81	79521	zerocopy	824815313
82	3121	generic-array	823343115
83	3111	typenum	819117633
84	109	url	812786088
85	568652	clap_lex	811297368
86	791966	winnow	811159319
87	54019	futures-sink	804256547
88	125857	http-body	802850978
89	54009	futures-channel	801041582
90	142370	tracing-core	795686746
91	40771	tracing	784947964
92	353576	crypto-common	776412651
93	1612	errno	768772841
94	5849	futures-io	766931484
95	8906	h2	758037053
96	1343	byteorder	752743945
97	1867	tempfile	750330635
98	43459	toml_edit	749808018
99	777488	equivalent	748836522
100	120	chrono	748368220
101	1869	unicode-width	748222634
102	2450	shlex	744922560
103	1788	fnv	742128924
104	10	uuid	740818450
105	56	nix	737911739
106	255839	form_urlencoded	736767180
107	5848	futures	729452401
108	129790	tokio-macros	729099298
109	66890	rustc-hash	724818964
110	49101	tokio-util	723566303
111	117734	ahash	721862543
112	178725	futures-macro	721810542
113	754695	rustls-webpki	715485680
114	8630	tokio-rustls	710310647
115	124199	wasi	708359432
116	5299	untrusted	707630198
117	693738	toml_datetime	706918009
118	236945	clap_derive	702469474
119	35941	memoffset	700250326
120	34	pkg-config	694068246
121	147454	rustversion	693510765
122	2906	rustc_version	689544796
123	155163	tracing-attributes	687733396
124	822608	clap_builder	687672728
125	54021	futures-executor	685475848
126	5981	ring	684410213
127	6152	webpki-roots	679457337
128	7118	redox_syscall	677349553
129	130707	signal-hook-registry	676641377
130	589251	anstyle	675541402
131	77760	pin-utils	669323773
132	805	nom	668815870
133	1432	httparse	664823687
134	196005	tinyvec	664342623
135	14735	darling_macro	662574679
136	14734	darling_core	662512656
137	14736	darling	662394465
138	6874	reqwest	656161001
139	16996	subtle	645975843
140	4697	thread_local	641699323
141	4747	num-integer	634796582
142	185871	time-macros	634424605
143	96449	crc32fast	632730217
144	87769	zeroize	632328252
145	6798	synstructure	629082441
146	37	flate2	627408772
147	811574	anstream	625667699
148	258651	iana-time-zone	617663797
149	1307	spin	614130912
150	151072	async-trait	612102775
151	805087	anstyle-parse	612086390
152	40618	crossbeam-epoch	609127668
153	7751	tower	606276222
154	274712	tinyvec_macros	604519355
155	3290	hex	601087802
156	838340	anstyle-query	598451657
157	838341	colorchoice	597418120
158	323779	time-core	595982311
159	8893	stable_deref_trait	593136465
160	8483	strum_macros	592445072
161	242446	sync_wrapper	588439289
162	51910	tower-service	587514942
163	6784	hyper-rustls	586599377
164	8484	strum	585226955
165	55853	want	583760833
166	55851	try-lock	583067516
167	40627	crossbeam-deque	580715539
168	6030	object	576092732
169	3119	walkdir	574103168
170	1964	unicode-xid	573249243
171	6531	utf8parse	570353942
172	121	mime	566555612
173	8	glob	563649885
174	1592	num_cpus	563462463
175	144108	tracing-subscriber	559715012
176	7992	same-file	554364959
177	7142	openssl-probe	554353774
178	40643	crossbeam-channel	554339497
179	321432	deranged	550191339
180	6855	httpdate	549245100
181	117694	zerocopy-derive	546440924
182	155838	pin-project-internal	545642898
183	107436	pin-project	545568818
184	20559	prost	543015865
185	4750	num-bigint	539974470
186	1873	unicode-normalization	536660163
187	356	phf_shared	533956156
188	20558	prost-derive	533091810
189	27517	ipnet	532828918
190	5060	rustc-demangle	532662716
191	5383	gimli	532590528
192	1306	env_logger	532014520
193	98380	bumpalo	531684844
194	6761	hmac	530157351
195	171342	displaydoc	522078760
196	2147	arrayvec	520143820
197	6336	serde_urlencoded	518671520
198	391760	yoke	517122685
199	174155	hermit-abi	517070954
200	155532	tinystr	516538987
201	763746	serde_spanned	514654641
202	1193440	windows_i686_gnullvm	513008286
203	328282	rustls-pemfile	510929142
204	359238	litemap	510694332
205	417987	yoke-derive	509421806
206	1872	unicode-segmentation	509214707
207	144097	tracing-log	508141700
208	981428	icu_properties_data	507520664
209	386783	zerovec	505633828
210	178110	rustls-native-certs	504971111
211	475519	icu_properties	504360192
212	3608	rayon	504203448
213	300037	icu_provider	502391835
214	16646	jobserver	502162271
215	169478	sharded-slab	501633151
216	311783	writeable	500731207
217	1078954	num-conv	500482829
218	496142	zerovec-derive	500446861
219	639084	icu_collections	499968837
220	562853	zerofrom	499280208
221	6711	siphasher	498516126
222	981432	icu_normalizer_data	498298648
223	1335130	foldhash	497401876
224	8934	rayon-core	495557839
225	242439	event-listener	495120995
226	391255	icu_normalizer	494621843
227	996989	powerfmt	493871545
228	114057	proc-macro-crate	491418530
229	5617	encoding_rs	491368963
230	562852	zerofrom-derive	491101533
231	390375	minimal-lexical	490900911
232	358	phf	489816785
233	7317	termcolor	488940010
234	7456	addr2line	488515699
