rank	rubygem_id	name	downloads
1	19969	bundler	3732885507
2	87352	aws-sdk-core	1749533184
3	152855	aws-sigv4	1554216159
4	153981	aws-partitions	1517133866
5	114449	jmespath	1438344118
6	18291	i18n	1431052427
7	15163	activesupport	1427975094
8	15077	rake	1412026714
9	14981	json	1374153221
10	81534	concurrent-ruby	1367770074
11	173215	aws-eventstream	1358061952
12	15261	rack	1345350467
13	14982	tzinfo	1315640737
14	16943	minitest	1295908852
15	16156	addressable	1262655092
16	15272	nokogiri	1261123180
17	24719	faraday	1255022412
18	51490	public_suffix	1234310591
19	15123	diff-lcs	1228979623
20	20609	rspec-core	1197606321
21	20610	rspec-expectations	1197058452
22	20611	rspec-mocks	1191778556
23	87589	rspec-support	1184240241
24	29916	multi_json	1161116625
25	15655	thor	1149070415
26	154044	aws-sdk-s3	1103497636
27	15613	ffi	1085068712
28	154033	aws-sdk-kms	1068139673
29	15076	rspec	1018547677
30	36554	unicode-display_width	981889346
31	15274	builder	929177311
32	15446	mime-types	928327234
33	16590	multipart-post	923171621
34	22283	activemodel	892124239
35	154400	mini_mime	881416316
36	74822	parser	839336758
37	15353	activerecord	836602625
38	15420	actionpack	824577501
39	21384	parallel	822552103
40	15100	rexml	822428399
41	16108	rack-test	811157207
42	38605	jwt	810988955
43	75061	ast	794624167
44	15609	tilt	791556166
45	15494	rails	787655768
46	26159	railties	786052532
47	16000	rubyzip	785956491
48	20421	actionview	775419906
49	36010	method_source	773924407
50	15237	actionmailer	772337260
51	22621	mail	762902895
52	17073	rainbow	750088178
53	196438	faraday-net_http	748403604
54	20322	loofah	745224300
55	22511	ruby-progressbar	744986577
56	58037	rubocop	744604273
57	136470	mime-types-data	742692431
58	16416	racc	733416718
59	41621	connection_pool	726258985
60	22909	excon	706184917
61	110977	rails-html-sanitizer	705230030
62	98821	activejob	704502052
63	180275	zeitwerk	698396313
64	51537	nio4r	689421728
65	73976	http-cookie	683316529
66	110855	rails-dom-testing	681459495
67	22982	domain_name	672230323
68	35151	regexp_parser	665207678
69	110853	globalid	663557147
70	77150	websocket-driver	642605279
71	15280	coderay	638747971
72	35765	pry	632355340
73	152941	erubi	627889168
74	16001	sprockets	620926984
75	16475	rubygems-update	620122011
76	85152	crass	614509570
77	136317	mini_portile2	612040607
78	57659	thread_safe	611393844
79	48064	puma	603629110
80	124976	actioncable	602439932
81	33401	multi_xml	600122597
82	117407	websocket-extensions	591186331
83	16914	redis	582105698
84	24125	sprockets-rails	561857054
85	192914	rubocop-ast	561689753
86	48850	netrc	558302922
87	62073	dotenv	546442397
88	152188	activestorage	538920738
89	48017	unf_ext	538746277
90	15535	httpclient	535786188
91	137014	base64	518505691
92	17610	msgpack	517183599
93	43080	rack-protection	516799967
94	33757	rb-fsevent	512687373
95	121525	googleauth	508819238
96	48018	unf	508399069
97	50800	docile	500864223
98	32035	simplecov	499913979
99	32624	signet	497953962
100	53424	bigdecimal	497049800
101	32036	simplecov-html	491981700
102	24023	rb-inotify	490786164
103	187352	ruby2_keywords	488885463
104	23404	hashie	484936358
105	15371	rest-client	484357173
106	169072	marcel	483766366
107	15152	httparty	480755245
108	74200	byebug	478937266
109	51586	webrick	475021979
110	17289	pg	470257870
111	24630	os	467757420
112	33184	faraday_middleware	463127824
113	117381	google-protobuf	451885933
114	51194	actiontext	444348007
115	179363	actionmailbox	444186978
116	58988	hashdiff	425769779
117	23707	webmock	422845982
118	21592	terminal-table	417792297
119	41603	logger	414744246
120	39188	execjs	414421925
121	22594	bcrypt	413523448
122	15295	crack	412898625
123	204705	faraday-retry	410814987
124	15498	rspec-rails	407404357
125	53582	retriable	404514697
126	64924	sawyer	400222153
127	52946	listen	400169448
128	200156	faraday-excon	398148736
129	204730	faraday-multipart	395879011
130	199640	faraday-net_http_persistent	393972289
131	36675	octokit	392698661
132	15820	net-ssh	385755608
133	101268	knapsack	384437036
134	44011	aws-sdk	383825182
135	41013	representable	379817576
136	16012	mini_magick	378412043
137	192046	net-imap	377067202
138	156633	bootsnap	375048089
139	61688	uber	373311148
140	112910	aws-sdk-resources	366680715
141	20367	sass	366288690
142	128605	declarative	365583515
143	200431	faraday-em_synchrony	360863985
144	92367	timeout	359351682
145	23692	capybara	358124383
146	23422	selenium-webdriver	356943004
147	15389	sinatra	356220194
148	156248	factory_bot	353227273
149	69212	request_store	351675916
150	200415	faraday-em_http	349470693
151	15279	rdoc	344880277
152	154051	aws-sdk-sqs	344558662
153	15117	faker	341890966
154	31783	xpath	340209079
155	15013	highline	339698691
156	201625	faraday-httpclient	337462198
157	158850	google-cloud-env	336731570
158	53348	sidekiq	335591199
159	24207	responders	334275022
160	201630	faraday-patron	333870762
161	15368	eventmachine	331580620
162	20250	arel	329978054
163	202025	faraday-rack	327484053
164	175025	rubocop-performance	327246668
165	187711	net-smtp	325848899
166	63779	rouge	324600433
167	52724	memoist	321313951
168	15316	daemons	316371887
169	50536	jbuilder	312124742
170	31820	jquery-rails	310927166
171	29572	digest-crc	310079467
172	33558	childprocess	308718422
173	155635	rubocop-rails	306473883
174	15327	warden	306163971
175	54087	oj	305542215
176	26393	date	301619335
177	15055	erubis	301147374
178	15193	launchy	299137165
179	60390	ethon	296793687
180	192017	net-protocol	296467694
181	22461	devise	295328179
182	164911	language_server-protocol	295020135
183	91907	rubocop-rspec	294772431
184	34530	uglifier	294542332
185	76696	mustermann	294496009
186	42066	sass-rails	294388774
187	156249	factory_bot_rails	293009614
188	21444	typhoeus	288956676
189	27995	awesome_print	287054466
190	77301	pry-byebug	286845149
191	33508	orm_adapter	286026101
192	197661	google-apis-core	284901648
193	23972	formatador	282511365
194	149765	google-cloud-core	282089344
195	154052	aws-sdk-ssm	278773819
196	140126	http-accept	277310766
197	28510	oauth2	276430494
198	29611	rack-cors	274429935
199	37205	shoulda-matchers	272802455
200	42037	rspec_junit_formatter	272165753
201	15605	timecop	272079379
202	37893	kaminari	271785965
203	195340	simplecov_json_formatter	271265630
204	22808	drb	269661992
205	30478	CFPropertyList	269389551
206	188857	google-cloud-errors	268563139
207	34841	coffee-script-source	265909264
208	154012	aws-sdk-ec2	263425583
209	69727	spring	259017878
210	24858	coffee-script	256992400
211	200033	trailblazer-option	255427704
212	24568	temple	252326220
213	183124	reline	252324010
214	23764	kramdown	252182355
215	66529	claide	251858119
216	137017	uri	249557033
217	35824	net-ntp	249240237
218	142041	colored2	244937571
219	150696	dry-core	242878118
